Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0.015519,0,-0.3,9,9.005,-2.49206e-08,6.55593e-08,0.282539,0.282539
internalMesh,1,0.015519,0,-0.3,9,9.005,-2.49206e-08,6.55593e-08,0.282539,0.282539
internalMesh,2,0.015519,0,-0.294284,9,9.00481,-2.50187e-08,6.83952e-08,0.287976,0.287976
internalMesh,3,0.015519,0,-0.288494,9,9.00462,-2.51181e-08,7.1268e-08,0.293484,0.293484
internalMesh,4,0.015519,0,-0.288494,9,9.00462,-2.51181e-08,7.1268e-08,0.293484,0.293484
internalMesh,5,0.015519,0,-0.276928,9,9.00426,-2.51041e-08,7.74368e-08,0.304903,0.304903
internalMesh,6,0.015519,0,-0.276928,9,9.00426,-2.51041e-08,7.74368e-08,0.304903,0.304903
internalMesh,7,0.015519,0,-0.265305,9,9.00391,-2.48554e-08,8.36978e-08,0.3159,0.3159
internalMesh,8,0.015519,0,-0.265305,9,9.00391,-2.48554e-08,8.36978e-08,0.3159,0.3159
internalMesh,9,0.015519,0,-0.253627,9,9.00357,-2.43787e-08,8.99635e-08,0.326466,0.326466
internalMesh,10,0.015519,0,-0.253627,9,9.00357,-2.43787e-08,8.99635e-08,0.326466,0.326466
internalMesh,11,0.015519,0,-0.241895,9,9.00325,-2.36849e-08,9.60981e-08,0.336592,0.336592
internalMesh,12,0.015519,0,-0.241895,9,9.00325,-2.36849e-08,9.60981e-08,0.336592,0.336592
internalMesh,13,0.015519,0,-0.230114,9,9.00294,-2.27882e-08,1.01965e-07,0.346272,0.346272
internalMesh,14,0.015519,0,-0.230114,9,9.00294,-2.27882e-08,1.01965e-07,0.346272,0.346272
internalMesh,15,0.015519,0,-0.218284,9,9.00265,-2.17068e-08,1.07415e-07,0.355498,0.355498
internalMesh,16,0.015519,0,-0.218284,9,9.00265,-2.17068e-08,1.07415e-07,0.355498,0.355498
internalMesh,17,0.015519,0,-0.206409,9,9.00237,-2.04627e-08,1.12286e-07,0.364263,0.364263
internalMesh,18,0.015519,0,-0.206409,9,9.00237,-2.04627e-08,1.12286e-07,0.364263,0.364263
internalMesh,19,0.015519,0,-0.196843,9,9.00215,-1.93537e-08,1.15593e-07,0.370924,0.370924
internalMesh,20,0.015519,0,-0.196843,9,9.00215,-1.93537e-08,1.15593e-07,0.370924,0.370924
internalMesh,21,0.015519,0,-0.196843,9,9.00215,-1.93537e-08,1.15593e-07,0.370924,0.370924
internalMesh,22,0.015519,0,-0.194491,9,9.0021,-1.9081e-08,1.16406e-07,0.372561,0.372561
