Block Name,Point ID,k,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0.270095,0.00870038,31.0838,2.02661,0,-0.3,9,9.005,6.00662e-06,0.0168211,12.285,12.285
internalMesh,1,0.270095,0.00870038,31.0838,2.02661,0,-0.3,9,9.005,6.00662e-06,0.0168211,12.285,12.285
internalMesh,2,0.25947,0.00893178,29.152,2.02663,0,-0.294284,9,9.00481,6.01246e-06,0.0169946,12.3237,12.3237
internalMesh,3,0.248706,0.0091662,27.1951,2.02666,0,-0.288494,9,9.00462,6.01837e-06,0.0171703,12.363,12.363
internalMesh,4,0.248706,0.0091662,27.1951,2.02666,0,-0.288494,9,9.00462,6.01837e-06,0.0171703,12.363,12.363
internalMesh,5,0.231269,0.00983179,23.5867,2.02667,0,-0.276928,9,9.00426,5.85e-06,0.0173345,12.4303,12.4303
internalMesh,6,0.231269,0.00983179,23.5867,2.02667,0,-0.276928,9,9.00426,5.85e-06,0.0173345,12.4303,12.4303
internalMesh,7,0.218678,0.0106821,20.5342,2.02663,0,-0.265305,9,9.00391,5.5945e-06,0.0172982,12.4827,12.4827
internalMesh,8,0.218678,0.0106821,20.5342,2.02663,0,-0.265305,9,9.00391,5.5945e-06,0.0172982,12.4827,12.4827
internalMesh,9,0.209789,0.011748,17.9196,2.02655,0,-0.253627,9,9.00357,5.30175e-06,0.0170851,12.5232,12.5232
internalMesh,10,0.209789,0.011748,17.9196,2.02655,0,-0.253627,9,9.00357,5.30175e-06,0.0170851,12.5232,12.5232
internalMesh,11,0.203727,0.0129799,15.7436,2.02643,0,-0.241895,9,9.00325,5.0035e-06,0.0167246,12.5542,12.5542
internalMesh,12,0.203727,0.0129799,15.7436,2.02643,0,-0.241895,9,9.00325,5.0035e-06,0.0167246,12.5542,12.5542
internalMesh,13,0.199864,0.0142044,14.0993,2.02631,0,-0.230114,9,9.00294,4.71137e-06,0.0162479,12.5781,12.5781
internalMesh,14,0.199864,0.0142044,14.0993,2.02631,0,-0.230114,9,9.00294,4.71137e-06,0.0162479,12.5781,12.5781
internalMesh,15,0.197581,0.015308,12.924,2.02622,0,-0.218284,9,9.00265,4.42225e-06,0.0156816,12.5968,12.5968
internalMesh,16,0.197581,0.015308,12.924,2.02622,0,-0.218284,9,9.00265,4.42225e-06,0.0156816,12.5968,12.5968
internalMesh,17,0.196377,0.0162813,12.0718,2.02614,0,-0.206409,9,9.00237,4.13225e-06,0.0150462,12.6115,12.6115
internalMesh,18,0.196377,0.0162813,12.0718,2.02614,0,-0.206409,9,9.00237,4.13225e-06,0.0150462,12.6115,12.6115
internalMesh,19,0.196005,0.0169655,11.5653,2.02609,0,-0.196843,9,9.00215,3.89798e-06,0.0144921,12.6208,12.6208
internalMesh,20,0.196005,0.0169655,11.5653,2.02609,0,-0.196843,9,9.00215,3.89798e-06,0.0144921,12.6208,12.6208
internalMesh,21,0.196005,0.0169655,11.5653,2.02609,0,-0.196843,9,9.00215,3.89798e-06,0.0144921,12.6208,12.6208
internalMesh,22,0.195913,0.0171338,11.4408,2.02608,0,-0.194491,9,9.0021,3.84037e-06,0.0143558,12.6231,12.6232
internalMesh,23,0.195913,0.0171338,11.4408,2.02608,0,-0.194491,9,9.0021,3.84037e-06,0.0143558,12.6231,12.6232
internalMesh,24,0.195921,0.01725,11.3664,2.02607,0,-0.192623,9,9.00206,3.79459e-06,0.0142408,12.6246,12.6246
internalMesh,25,0.19596,0.017878,10.965,2.02604,0,-0.182533,9,9.00185,3.54737e-06,0.01362,12.6325,12.6325
internalMesh,26,0.19596,0.017878,10.965,2.02604,0,-0.182533,9,9.00185,3.54737e-06,0.01362,12.6325,12.6325
internalMesh,27,0.196353,0.018528,10.6004,2.026,0,-0.170536,9,9.00162,3.25475e-06,0.0128458,12.64,12.64
internalMesh,28,0.196353,0.018528,10.6004,2.026,0,-0.170536,9,9.00162,3.25475e-06,0.0128458,12.64,12.64
internalMesh,29,0.196977,0.0190967,10.3166,2.02598,0,-0.158504,9,9.0014,2.96738e-06,0.012039,12.646,12.646
internalMesh,30,0.196977,0.0190967,10.3166,2.02598,0,-0.158504,9,9.0014,2.96738e-06,0.012039,12.646,12.646
internalMesh,31,0.197741,0.0195948,10.0929,2.02597,0,-0.146439,9,9.00119,2.69e-06,0.0112039,12.6508,12.6508
internalMesh,32,0.197741,0.0195948,10.0929,2.02597,0,-0.146439,9,9.00119,2.69e-06,0.0112039,12.6508,12.6508
internalMesh,33,0.19858,0.0200309,9.91469,2.02596,0,-0.134343,9,9.001,2.4255e-06,0.0103443,12.6546,12.6546
internalMesh,34,0.19858,0.0200309,9.91469,2.02596,0,-0.134343,9,9.001,2.4255e-06,0.0103443,12.6546,12.6546
internalMesh,35,0.199296,0.0203463,9.7964,2.02596,0,-0.124298,9,9.00086,2.22001e-06,0.00961434,12.6571,12.6571
internalMesh,36,0.199296,0.0203463,9.7964,2.02596,0,-0.124298,9,9.00086,2.22001e-06,0.00961434,12.6571,12.6571
internalMesh,37,0.199296,0.0203463,9.7964,2.02596,0,-0.124298,9,9.00086,2.22001e-06,0.00961434,12.6571,12.6571
internalMesh,38,0.199444,0.0204115,9.77193,2.02596,0,-0.12222,9,9.00083,2.17749e-06,0.00946331,12.6576,12.6576
internalMesh,39,0.199444,0.0204115,9.77193,2.02596,0,-0.12222,9,9.00083,2.17749e-06,0.00946331,12.6576,12.6576
internalMesh,40,0.199745,0.0205278,9.73155,2.02596,0,-0.117932,9,9.00077,2.09685e-06,0.00914579,12.6584,12.6584
internalMesh,41,0.200295,0.020741,9.65751,2.02596,0,-0.11007,9,9.00067,1.949e-06,0.00856367,12.6599,12.6599
internalMesh,42,0.200295,0.020741,9.65751,2.02596,0,-0.11007,9,9.00067,1.949e-06,0.00856367,12.6599,12.6599
internalMesh,43,0.200818,0.0209241,9.59823,2.02597,0,-0.102194,9,9.00058,1.8149e-06,0.00797107,12.6611,12.6611
internalMesh,44,0.200818,0.0209241,9.59823,2.02597,0,-0.102194,9,9.00058,1.8149e-06,0.00797107,12.6611,12.6611
internalMesh,45,0.200818,0.0209241,9.59823,2.02597,0,-0.102194,9,9.00058,1.8149e-06,0.00797107,12.6611,12.6611
internalMesh,46,0.201103,0.0210239,9.5659,2.02597,0,-0.0978983,9,9.00053,1.74175e-06,0.00764783,12.6617,12.6617
internalMesh,47,0.201848,0.0212646,9.49259,2.02597,0,-0.0857057,9,9.00041,1.55612e-06,0.006718,12.663,12.6631
