Block Name,Point ID,k,nu,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0.000293408,0.000169981,0.000318692,0.923011,0.00251254,0,-0.3,9,9.005,-6.85632e-08,0.000576436,0.453735,0.453736
internalMesh,1,0.000293408,0.000169981,0.000318692,0.923011,0.00251254,0,-0.3,9,9.005,-6.85632e-08,0.000576436,0.453735,0.453736
internalMesh,2,0.000284503,0.000176555,0.000332556,0.860895,0.00251253,0,-0.292915,9,9.00477,-7.15779e-08,0.000577358,0.454994,0.454994
internalMesh,3,0.000275318,0.000183334,0.000346854,0.796839,0.00251252,0,-0.285608,9,9.00453,-7.46875e-08,0.000578308,0.456291,0.456292
internalMesh,4,0.000275318,0.000183334,0.000346854,0.796839,0.00251252,0,-0.285608,9,9.00453,-7.46875e-08,0.000578308,0.456291,0.456292
internalMesh,5,0.000268424,0.000191391,0.000365082,0.740582,0.00251247,0,-0.27814,9,9.0043,-8.16677e-08,0.000575231,0.457393,0.457393
internalMesh,6,0.000268424,0.000191391,0.000365082,0.740582,0.00251247,0,-0.27814,9,9.0043,-8.16677e-08,0.000575231,0.457393,0.457393
internalMesh,7,0.000268424,0.000191391,0.000365082,0.740582,0.00251247,0,-0.27814,9,9.0043,-8.16677e-08,0.000575231,0.457393,0.457393
internalMesh,8,0.000261947,0.00019896,0.000382206,0.687735,0.00251243,0,-0.271124,9,9.00408,-8.82246e-08,0.000572339,0.458427,0.458427
internalMesh,9,0.00025347,0.000215408,0.000418963,0.606525,0.00251231,0,-0.256551,9,9.00366,-9.59371e-08,0.000559738,0.460068,0.460069
internalMesh,10,0.00025347,0.000215408,0.000418963,0.606525,0.00251231,0,-0.256551,9,9.00366,-9.59371e-08,0.000559738,0.460068,0.460069
internalMesh,11,0.00025347,0.000215408,0.000418963,0.606525,0.00251231,0,-0.256551,9,9.00366,-9.59371e-08,0.000559738,0.460068,0.460069
internalMesh,12,0.000251535,0.000222006,0.000432727,0.583721,0.00251227,0,-0.250856,9,9.0035,-9.84972e-08,0.000552812,0.460564,0.460564
internalMesh,13,0.000248491,0.000232385,0.000454381,0.547843,0.00251219,0,-0.241895,9,9.00325,-1.02525e-07,0.000541915,0.461343,0.461343
internalMesh,14,0.000248491,0.000232385,0.000454381,0.547843,0.00251219,0,-0.241895,9,9.00325,-1.02525e-07,0.000541915,0.461343,0.461343
internalMesh,15,0.000246884,0.000243204,0.000475088,0.521116,0.00251212,0,-0.232744,9,9.00301,-1.05599e-07,0.000528325,0.461964,0.461965
internalMesh,16,0.000246884,0.000243204,0.000475088,0.521116,0.00251212,0,-0.232744,9,9.00301,-1.05599e-07,0.000528325,0.461964,0.461965
internalMesh,17,0.000246884,0.000243204,0.000475088,0.521116,0.00251212,0,-0.232744,9,9.00301,-1.05599e-07,0.000528325,0.461964,0.461965
internalMesh,18,0.000245904,0.000249805,0.000487723,0.504809,0.00251207,0,-0.227161,9,9.00287,-1.07473e-07,0.000520033,0.462344,0.462344
internalMesh,19,0.000245904,0.000249805,0.000487723,0.504809,0.00251207,0,-0.227161,9,9.00287,-1.07473e-07,0.000520033,0.462344,0.462344
internalMesh,20,0.000245544,0.000256433,0.00049922,0.49286,0.00251203,0,-0.221665,9,9.00273,-1.08449e-07,0.000510716,0.462638,0.462638
internalMesh,21,0.000244935,0.000267662,0.000518701,0.472614,0.00251195,0,-0.212352,9,9.00251,-1.101e-07,0.000494929,0.463137,0.463138
internalMesh,22,0.000244935,0.000267662,0.000518701,0.472614,0.00251195,0,-0.212352,9,9.00251,-1.101e-07,0.000494929,0.463137,0.463138
internalMesh,23,0.000244997,0.000278176,0.000535064,0.458525,0.00251188,0,-0.203791,9,9.00231,-1.10971e-07,0.000478981,0.463502,0.463502
internalMesh,24,0.000244997,0.000278176,0.000535064,0.458525,0.00251188,0,-0.203791,9,9.00231,-1.10971e-07,0.000478981,0.463502,0.463502
internalMesh,25,0.000244997,0.000278176,0.000535064,0.458525,0.00251188,0,-0.203791,9,9.00231,-1.10971e-07,0.000478981,0.463502,0.463502
internalMesh,26,0.000245043,0.000285932,0.000547136,0.448131,0.00251183,0,-0.197475,9,9.00217,-1.11613e-07,0.000467217,0.463771,0.463771
internalMesh,27,0.000245043,0.000285932,0.000547136,0.448131,0.00251183,0,-0.197475,9,9.00217,-1.11613e-07,0.000467217,0.463771,0.463771
internalMesh,28,0.000245331,0.000292579,0.000556369,0.441385,0.00251179,0,-0.192138,9,9.00205,-1.11823e-07,0.000456556,0.463952,0.463952
internalMesh,29,0.000245849,0.000304544,0.000572988,0.429242,0.00251172,0,-0.182533,9,9.00185,-1.122e-07,0.000437366,0.464279,0.464279
internalMesh,30,0.000245849,0.000304544,0.000572988,0.429242,0.00251172,0,-0.182533,9,9.00185,-1.122e-07,0.000437366,0.464279,0.464279
internalMesh,31,0.000246821,0.000319337,0.000591337,0.417623,0.00251163,0,-0.170736,9,9.00162,-1.11974e-07,0.000412501,0.464602,0.464602
internalMesh,32,0.000246821,0.000319337,0.000591337,0.417623,0.00251163,0,-0.170736,9,9.00162,-1.11974e-07,0.000412501,0.464602,0.464602
internalMesh,33,0.000246821,0.000319337,0.000591337,0.417623,0.00251163,0,-0.170736,9,9.00162,-1.11974e-07,0.000412501,0.464602,0.464602
internalMesh,34,0.000247085,0.000323355,0.00059632,0.414468,0.0025116,0,-0.167531,9,9.00156,-1.11912e-07,0.000405747,0.464689,0.46469
internalMesh,35,0.000248557,0.000342125,0.000617203,0.402792,0.00251149,0,-0.152475,9,9.00129,-1.11013e-07,0.000372656,0.465021,0.465022
internalMesh,36,0.000248557,0.000342125,0.000617203,0.402792,0.00251149,0,-0.152475,9,9.00129,-1.11013e-07,0.000372656,0.465021,0.465022
internalMesh,37,0.000250125,0.000360507,0.000635739,0.393489,0.00251139,0,-0.13737,9,9.00105,-1.09649e-07,0.000338338,0.46529,0.46529
internalMesh,38,0.000250125,0.000360507,0.000635739,0.393489,0.00251139,0,-0.13737,9,9.00105,-1.09649e-07,0.000338338,0.46529,0.46529
internalMesh,39,0.000251691,0.000378057,0.00065204,0.386036,0.0025113,0,-0.12222,9,9.00083,-1.07924e-07,0.000302998,0.465508,0.465508
internalMesh,40,0.000251691,0.000378057,0.00065204,0.386036,0.0025113,0,-0.12222,9,9.00083,-1.07924e-07,0.000302998,0.465508,0.465508
internalMesh,41,0.000253183,0.000394283,0.000666212,0.380052,0.00251121,0,-0.107029,9,9.00064,-1.05923e-07,0.000266811,0.465683,0.465683
internalMesh,42,0.000253183,0.000394283,0.000666212,0.380052,0.00251121,0,-0.107029,9,9.00064,-1.05923e-07,0.000266811,0.465683,0.465683
internalMesh,43,0.000253183,0.000394283,0.000666212,0.380052,0.00251121,0,-0.107029,9,9.00064,-1.05923e-07,0.000266811,0.465683,0.465683
internalMesh,44,0.000253274,0.000395246,0.000667022,0.379732,0.00251121,0,-0.106014,9,9.00062,-1.05776e-07,0.000264351,0.465692,0.465692
internalMesh,45,0.000254551,0.000408717,0.000678351,0.375259,0.00251114,0,-0.0918044,9,9.00047,-1.03687e-07,0.000229924,0.465823,0.465823
internalMesh,46,0.000254551,0.000408717,0.000678351,0.375259,0.00251114,0,-0.0918044,9,9.00047,-1.03687e-07,0.000229924,0.465823,0.465823
internalMesh,47,0.000255606,0.000419463,0.000687258,0.371931,0.00251109,0,-0.0784563,9,9.00034,-1.01522e-07,0.000197152,0.46592,0.46592
internalMesh,48,0.000255606,0.000419463,0.000687258,0.371931,0.00251109,0,-0.0784563,9,9.00034,-1.01522e-07,0.000197152,0.46592,0.46592
internalMesh,49,0.000255606,0.000419463,0.000687258,0.371931,0.00251109,0,-0.0784563,9,9.00034,-1.01522e-07,0.000197152,0.46592,0.46592
internalMesh,50,0.000255757,0.000420998,0.000688531,0.371456,0.00251108,0,-0.0765494,9,9.00033,-1.01212e-07,0.000192471,0.465934,0.465934
internalMesh,51,0.000256776,0.000430928,0.000696809,0.368499,0.00251104,0,-0.0612695,9,9.00021,-9.85492e-08,0.000154565,0.466019,0.466019
internalMesh,52,0.000256776,0.000430928,0.000696809,0.368499,0.00251104,0,-0.0612695,9,9.00021,-9.85492e-08,0.000154565,0.466019,0.466019
internalMesh,53,0.000256776,0.000430928,0.000696809,0.368499,0.00251104,0,-0.0612695,9,9.00021,-9.85492e-08,0.000154565,0.466019,0.466019
internalMesh,54,0.0002569,0.000432089,0.000697796,0.368158,0.00251103,0,-0.0589157,9,9.00019,-9.81213e-08,0.000148679,0.466029,0.466029
internalMesh,55,0.000257586,0.000438474,0.000703224,0.366286,0.002511,0,-0.0459696,9,9.00012,-9.57627e-08,0.000116309,0.466083,0.466083
internalMesh,56,0.000257586,0.000438474,0.000703224,0.366286,0.002511,0,-0.0459696,9,9.00012,-9.57627e-08,0.000116309,0.466083,0.466083
internalMesh,57,0.000257844,0.000440781,0.000705237,0.365609,0.002511,0,-0.0392311,9,9.00009,-9.44922e-08,9.93645e-05,0.466102,0.466102
internalMesh,58,0.000257844,0.000440781,0.000705237,0.365609,0.002511,0,-0.0392311,9,9.00009,-9.44922e-08,9.93645e-05,0.466102,0.466102
internalMesh,59,0.000257844,0.000440781,0.000705237,0.365609,0.002511,0,-0.0392311,9,9.00009,-9.44922e-08,9.93645e-05,0.466102,0.466102
internalMesh,60,0.000258174,0.000443718,0.000707798,0.364747,0.00251098,0,-0.0306548,9,9.00005,-9.2874e-08,7.77984e-05,0.466127,0.466127
internalMesh,61,0.00025853,0.000446791,0.000710542,0.363839,0.00251097,0,-0.0153299,9,9.00001,-8.99126e-08,3.91204e-05,0.466152,0.466152
internalMesh,62,0.00025853,0.000446791,0.000710542,0.363839,0.00251097,0,-0.0153299,9,9.00001,-8.99126e-08,3.91204e-05,0.466152,0.466152
